----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-27T17:48:05--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.75 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-27T17:48:05.1021|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2025-07-27T17:48:05.3637|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-07-27T17:48:06.0344|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-07-27T17:48:06.1106|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-07-27T17:48:07.1575|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-07-27T17:48:07.3807|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-07-27T17:48:07.3957|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-07-27T17:48:07.4812|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-07-27T17:48:07.5948|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-27T17:48:07.6144|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-27T17:48:07.6471|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-27T17:48:09.9459|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 7.0.2.4675 installed
2025-07-27T17:48:10.4270|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 369.85 GB
2025-07-27T17:48:10.4273|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 229.75 GB
2025-07-27T17:48:14.0453|INFO|API.cs|Start|98|Starting Webserver
2025-07-27T17:48:14.0464|INFO|API.cs|APITask|132|starting web server, listening at 192.168.1.119:1888
2025-07-27T17:48:14.1412|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\Brian Carter\AppData\Local\NINA\Logs\20250727-174804-3.1.2.9001.3596-202507.log
2025-07-27T17:48:14.1649|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Advanced API version 2.2.6.2 by Christian Palm
2025-07-27T17:48:14.1825|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Autofocus Report Analysis version 2.0.0.9 by Stefan Berg @isbeorn
2025-07-27T17:48:14.4265|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Connector version 2.0.3.0 by Stefan Berg
2025-07-27T17:48:14.4467|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Device Actions and Commands version 2.0.0.0 by Dale Ghent
2025-07-27T17:48:14.5829|ERROR|ExposureCalculatorDock.cs|Failed to read SharpCap sensor analysis data|117
System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\bcart\Astronomy\astro-tools\data'.
   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path, Boolean ignoreNotFound)
   at System.IO.Enumeration.FileSystemEnumerator`1.Init()
   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory, FindTransform transform, EnumerationOptions options, Boolean isNormalized)
   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory, String expression, EnumerationOptions options)
   at System.IO.Directory.InternalEnumeratePaths(String path, String searchPattern, SearchTarget searchTarget, EnumerationOptions options)
   at System.IO.Directory.GetFiles(String path, String searchPattern, EnumerationOptions enumerationOptions)
   at NINA.Plugin.ExposureCalculator.DefaultSharpCapSensorAnalysisReader.Read(String sensorAnalysisPath) in D:\a\nina.plugin.exposurecalculator\nina.plugin.exposurecalculator\NINA.Plugin.ExposureCalculator\SharpCapSensorAnalysisReader.cs:line 207
   at NINA.Plugin.ExposureCalculator.ExposureCalculatorDock.ReadSensorAnalysisData(ISharpCapSensorAnalysisReader sharpCapSensorAnalysisReader, String path) in D:\a\nina.plugin.exposurecalculator\nina.plugin.exposurecalculator\NINA.Plugin.ExposureCalculator\ExposureCalculatorDock.cs:line 115
2025-07-27T17:48:14.6023|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Exposure Calculator version 2.0.0.0 by Stefan Berg @isbeorn
2025-07-27T17:48:14.7035|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Filter Offset Calculator version 2.0.0.0 by S. Dimant & Stefan Berg
2025-07-27T17:48:15.5220|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Ground Station version 2.4.1.0 by Dale Ghent
2025-07-27T17:48:21.5597|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Hocus Focus version 3.0.0.21 by George Hilios (jokogeo)
2025-07-27T17:48:22.3709|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Inject Autofocus version 1.0.0.1 by Charles Hagen
2025-07-27T17:48:22.9678|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Remote Copy version 3.0.1.0 by Tom Palmer @tcpalmer
2025-07-27T17:48:31.4705|INFO|ApplicationVM.cs|CheckDiskInfo|102|Drive V:\ is not ready
2025-07-27T17:48:31.5291|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive Z:\: 787.61 GB
2025-07-27T17:48:48.6553|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin RTSP Client version 3.1.0.5 by Stefan Berg @isbeorn
2025-07-27T17:48:49.4879|WARNING|When.cs|GetRunningItem|143|Can't get running items: SequencerNavigation not initialized yet!
2025-07-27T17:48:49.7061|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Sequencer Powerups version 3.28.2.1 by Marc Blank
2025-07-27T17:48:50.2622|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Session Metadata version 2.6.2.0 by Tom Palmer @tcpalmer
2025-07-27T17:48:51.0481|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin StarMessenger version 1.0.0.0 by Sascha Lohaus
2025-07-27T17:48:51.3884|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Three Point Polar Alignment version 2.2.3.8 by Stefan Berg @isbeorn
2025-07-27T17:48:52.6299|INFO|TouchNStarsServer.cs|Start|46|Starting Touch-N-Stars Webserver
2025-07-27T17:48:52.6323|INFO|TouchNStarsServer.cs|APITask|73|Touch-N-Stars Webserver starting
2025-07-27T17:48:52.6387|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Touch 'N' Stars version 1.1.0.0 by Johannes Maier, Christian Palm, Christian Wöhrle
2025-07-27T17:48:52.6495|INFO|PluginFetcher.cs|RequestAll|43|Fetching plugin manifests from https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-07-27T17:48:52.6773|INFO|FilterWheelChooserVM.cs|GetEquipment|167|Found 1 Networked Filter Wheel Filter Wheels
2025-07-27T17:48:52.6958|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-07-27T17:48:52.7979|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-07-27T17:48:52.8204|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-07-27T17:48:52.8225|INFO|CameraChooserVM.cs|GetEquipment|278|Found 6 ASCOM Cameras
2025-07-27T17:48:53.8920|INFO|PluginFetcher.cs|RequestAll|57|Found 54 valid plugins at https://nighttime-imaging.eu/wp-json/nina/v1/plugins/manifests
2025-07-27T17:48:54.0128|INFO|SequenceItem.cs|Run|208|Starting Category: , Item: ConnectAllEquipment
2025-07-27T17:48:54.8138|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 0 Alpaca Observing Conditions
2025-07-27T17:48:54.8308|INFO|DomeChooserVM.cs|GetEquipment|67|Found 0 Alpaca Domes
2025-07-27T17:48:55.0171|INFO|FilterWheelChooserVM.cs|GetEquipment|193|Found 0 Alpaca Filter Wheels
2025-07-27T17:48:55.0292|INFO|SwitchChooserVM.cs|GetEquipment|71|Found 0 Alpaca Switch Hubs
2025-07-27T17:48:55.0454|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
2025-07-27T17:48:55.0556|INFO|SafetyMonitorChooserVM.cs|GetEquipment|71|Found 0 Alpaca Safety Monitors
2025-07-27T17:48:55.0800|INFO|CameraChooserVM.cs|GetEquipment|290|Found 0 Alpaca Cameras
2025-07-27T17:48:55.0930|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-07-27T17:48:55.1669|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2025-07-27T17:48:55.5910|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-07-27T17:48:55.5913|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-07-27T17:48:55.5924|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-07-27T17:48:55.5927|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-07-27T17:48:55.6540|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 0 Alpaca Rotators
2025-07-27T17:48:55.6636|INFO|TelescopeChooserVM.cs|GetEquipment|69|Found 0 Alpaca Telescopes
2025-07-27T17:48:55.7352|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-07-27T17:48:55.7403|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-07-27T17:48:55.7489|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-07-27T17:48:55.8152|INFO|FocuserChooserVM.cs|GetEquipment|67|Found 0 Alpaca Focusers
2025-07-27T17:48:55.8931|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-27T17:48:55.9060|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-27T17:48:55.9103|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-27T17:48:55.9113|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-07-27T17:48:55.9123|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-07-27T17:48:55.9264|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-07-27T17:48:55.9282|INFO|CameraChooserVM.cs|GetEquipment|278|Found 6 ASCOM Cameras
2025-07-27T17:48:57.9352|INFO|AlpacaInteraction.cs|GetCameras|47|Discovered Alpaca Device ASI Camera (1) - 2895D57F-94E6-428C-88EE-70A7EAF1B706 @ 100.97.249.92 100.97.249.92:11111 #0
