DATE,LEVEL,SOURCE,MEMBER,LINE,MESSAGE
2025-07-08T21:51:41.1331,INFO,TelescopeVM.cs,FindHome,281,Mount ordered to locate home position
2025-07-08T21:52:27.0555,INFO,TelescopeVM.cs,FindHome,338,Mount has located its home position
2025-07-08T21:52:27.0569,INFO,SequenceItem.cs,Run,254,Finishing Category: Telescope, Item: FindHome
2025-07-08T21:52:27.0572,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T21:52:27.0572,INFO,SequenceItem.cs,Run,208,Starting Category: Ground Station, Item: Send to Pushover, Title: Autofocus
2025-07-08T21:52:27.4197,INFO,SequenceItem.cs,Run,254,Finishing Category: Ground Station, Item: Send to Pushover, Title: Autofocus
2025-07-08T21:52:27.4208,INFO,SequenceItem.cs,Run,254,Finishing Category: * Instruction Set *, Container: NINA.Sequencer.Container.SequentialContainer, Strategy: SequentialStrategy, Items[FINISHED]: 6, Triggers: Category: Ground Station, Item: Failures to Pushover
2025-07-08T21:52:27.4211,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T21:52:27.4211,INFO,SequenceItem.cs,Run,208,Starting Category: Utility, Item: WaitForTime, Time: 22:34:16h, Offset: 0
2025-07-08T22:34:18.9121,INFO,SequenceItem.cs,Run,254,Finishing Category: Utility, Item: WaitForTime, Time: 22:34:16h, Offset: 0
2025-07-08T22:34:18.9127,INFO,SequenceItem.cs,Run,254,Finishing Category: * Instruction Set *, Container: NINA.Sequencer.Container.StartAreaContainer, Strategy: SequentialStrategy, Items[FINISHED]: 11
2025-07-08T22:34:18.9129,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T22:34:18.9133,INFO,SequenceItem.cs,Run,208,Starting Category: * Instruction Set *, Container: NINA.Sequencer.Container.TargetAreaContainer, Strategy: SequentialStrategy, Items[CREATED]: 2
2025-07-08T22:34:18.9135,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T22:34:18.9150,INFO,SequenceItem.cs,Run,208,Starting Category: * Instruction Set *, Container: NINA.Sequencer.Container.DeepSkyObjectContainer, Strategy: SequentialStrategy, Items[CREATED]: 3, Triggers: Trigger: AutofocusAfterTimeTrigger, Amount: 120m, Target: M 27 RA: 19:59:36; Dec: 22° 43' 16"; Epoch: J2000 0
2025-07-08T22:34:18.9154,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T22:34:18.9157,INFO,SequenceItem.cs,Run,208,Starting Category: * Instruction Set *, Container: NINA.Sequencer.Container.SequentialContainer, Strategy: SequentialStrategy, Items[CREATED]: 6
2025-07-08T22:34:18.9159,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T22:34:18.9159,INFO,SequenceItem.cs,Run,208,Starting Category: Flat Device, Item: OpenCover
2025-07-08T22:34:18.9271,INFO,SequenceItem.cs,Run,254,Finishing Category: Flat Device, Item: OpenCover
2025-07-08T22:34:18.9275,INFO,MeridianFlipTrigger.cs,ShouldTrigger,197,Meridian Flip - Telescope is at home position. Skip flip evaluation
2025-07-08T22:34:18.9281,INFO,SequenceItem.cs,Run,208,Starting Category: Telescope, Item: CenterAndRotate, Coordinates RA: 19:59:36; Dec: 22° 43' 16"; Epoch: J2000, Position Angle: 0°
2025-07-08T22:34:19.0424,INFO,PHD2Guider.cs,StopGuiding,700,Phd2 - Stop Guiding skipped, as the app is already in state Stopped
2025-07-08T22:34:19.0537,INFO,TelescopeVM.cs,SlewToCoordinatesAsync,926,Slewing from RA: 22:06:09; Dec: 90° 00' 00"; Epoch: JNOW to RA: 20:00:44; Dec: 22° 47' 26"; Epoch: JNOW - Alt: 37° 53' 11"; Az: 85° 57' 50"
2025-07-08T22:34:49.5318,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 5s; Filter: L; Gain: 100; Offset 50; Binning: 1x1;
2025-07-08T22:35:00.4127,INFO,ImageSolver.cs,Solve,41,Platesolving with parameters: FocalLength: 619 PixelSize: 3.76 SearchRadius: 30 BlindFailoverEnabled: False Regions: 5000 DownSampleFactor: 0 MaxObjects: 500 Reference Coordinates RA: 19:59:36 Dec: 22° 43' 16" Epoch: J2000
2025-07-08T22:35:00.9759,INFO,BaseImageData.cs,SaveToDisk,344,Saved image to C:\Users\bcart\AppData\Local\NINA\PlateSolver\01xsxs5z.nzq.fits
2025-07-08T22:35:03.4658,INFO,ImageSolver.cs,Solve,54,Platesolve successful: Coordinates: RA: 20:00:54; Dec: 17° 33' 16"; Epoch: J2000
2025-07-08T22:35:03.4683,INFO,RotatorVM.cs,Sync,113,Syncing Rotator to Sky Angle 91.76159°
