"DATE","MESSAGE","ROLE","EVENT_ID","TYPE"
2025-07-08 19:26:05.7224,"Starting Category: , Item: CloseCover","CloseCover",1,"start"
2025-07-08 19:26:05.7381,"Finishing Category: , Item: CloseCover","CloseCover",1,"end"
2025-07-08 19:26:14.5361,"Starting Category: , Item: SwitchFilter, Filter: L","SwitchFilter",4,"start"
2025-07-08 19:26:14.5409,"Finishing Category: , Item: SwitchFilter, Filter: L","SwitchFilter",4,"end"
2025-07-08 19:26:18.9714,"Starting Category: , Item: CloseCover","CloseCover",7,"start"
2025-07-08 19:26:18.9821,"Finishing Category: , Item: CloseCover","CloseCover",7,"end"
2025-07-08 19:26:49.7868,"Starting Category: , Item: SwitchFilter, Filter: R","SwitchFilter",13,"start"
2025-07-08 19:26:49.7882,"Finishing Category: , Item: SwitchFilter, Filter: R","SwitchFilter",13,"end"
2025-07-08 19:26:52.9748,"Starting Category: , Item: CloseCover","CloseCover",16,"start"
2025-07-08 19:26:52.9857,"Finishing Category: , Item: CloseCover","CloseCover",16,"end"
2025-07-08 19:27:21.8104,"Starting Category: , Item: SwitchFilter, Filter: G","SwitchFilter",22,"start"
2025-07-08 19:27:21.8119,"Finishing Category: , Item: SwitchFilter, Filter: G","SwitchFilter",22,"end"
2025-07-08 19:27:24.9603,"Starting Category: , Item: CloseCover","CloseCover",25,"start"
2025-07-08 19:27:24.9724,"Finishing Category: , Item: CloseCover","CloseCover",25,"end"
2025-07-08 19:27:53.79,"Starting Category: , Item: SwitchFilter, Filter: B","SwitchFilter",31,"start"
2025-07-08 19:27:53.7952,"Finishing Category: , Item: SwitchFilter, Filter: B","SwitchFilter",31,"end"
2025-07-08 19:27:56.9765,"Starting Category: , Item: CloseCover","CloseCover",34,"start"
2025-07-08 19:27:56.9864,"Finishing Category: , Item: CloseCover","CloseCover",34,"end"
2025-07-08 19:28:25.0464,"Starting Category: , Item: SwitchFilter, Filter: H","SwitchFilter",39,"start"
2025-07-08 19:28:25.0486,"Finishing Category: , Item: SwitchFilter, Filter: H","SwitchFilter",39,"end"
2025-07-08 19:28:28.968,"Starting Category: , Item: CloseCover","CloseCover",42,"start"
2025-07-08 19:28:28.9789,"Finishing Category: , Item: CloseCover","CloseCover",42,"end"
2025-07-08 19:29:15.4613,"Starting Category: , Item: SwitchFilter, Filter: S","SwitchFilter",50,"start"
2025-07-08 19:29:15.4637,"Finishing Category: , Item: SwitchFilter, Filter: S","SwitchFilter",50,"end"
2025-07-08 19:29:18.9517,"Starting Category: , Item: CloseCover","CloseCover",53,"start"
2025-07-08 19:29:18.9616,"Finishing Category: , Item: CloseCover","CloseCover",53,"end"
2025-07-08 19:29:46.5696,"Starting Category: , Item: SwitchFilter, Filter: O","SwitchFilter",58,"start"
2025-07-08 19:29:46.5782,"Finishing Category: , Item: SwitchFilter, Filter: O","SwitchFilter",58,"end"
2025-07-08 19:29:50.4678,"Starting Category: , Item: OpenCover","OpenCover",61,"start"
2025-07-08 19:30:16.4721,"Finishing Category: , Item: OpenCover","OpenCover",61,"end"
2025-07-08 21:36:08.3323,"Starting Category: , Item: Center, Coordinates RA: 18:53:35; Dec: 33° 01' 45""; Epoch: J2000","Center",62,"start"
2025-07-08 21:37:39.7104,"Finishing Category: , Item: Center, Coordinates RA: 18:53:35; Dec: 33° 01' 45""; Epoch: J2000","Center",62,"end"
2025-07-08 21:42:42.7416,"Starting Category: Filter Wheel, Item: SwitchFilter, Filter: L","SwitchFilter",74,"start"
2025-07-08 21:42:42.7432,"Finishing Category: Filter Wheel, Item: SwitchFilter, Filter: L","SwitchFilter",74,"end"
2025-07-08 21:48:06.5381,"Starting Category: Flat Device, Item: OpenCover","OpenCover",80,"start"
2025-07-08 21:48:06.5501,"Finishing Category: Flat Device, Item: OpenCover","OpenCover",80,"end"
2025-07-08 21:48:06.5524,"Starting Category: Focuser, Item: RunAutofocus","RunAutofocus",81,"start"
2025-07-08 21:49:41.872,"Finishing Category: Focuser, Item: RunAutofocus","RunAutofocus",81,"end"
2025-07-08 22:34:18.9159,"Starting Category: Flat Device, Item: OpenCover","OpenCover",89,"start"
