ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec,ImageType
176,NA,L,2025-12-21T02:27:00Z,60,1x1,-20.1,-20,100,50,338.5908,610.5874,603,410,65535,1003,2.5325,0.3259,3.777483745862801,0.4227912455999481,0.8949,0.7271,0.5476,0.4449,0.7079,0.5752,17512,50,90.0557,West,1.2784,2025-12-21T07:27:47Z,143.79866421840134,69.57146739513674,LIGHT
175,NA,L,2025-12-21T02:26:00Z,60,1x1,-20.1,-20,100,50,328.0183,611.3049,604,411,65535,924,2.8521,0.4029,4.4822858609711425,0.33722475840619637,1.4273,1.1597,0.8643,0.7022,1.1359,0.9229,17512,50,90.0557,West,1.2794,2025-12-21T07:26:47Z,143.79866447065302,69.57146740585333,LIGHT
174,NA,L,2025-12-21T02:25:00Z,60,1x1,-20.2,-20,100,50,331.9964,611.8495,604,402,65535,956,2.7023,0.3778,4.176456309573385,0.3898740967789631,0.9721,0.7898,0.6297,0.5116,0.7406,0.6017,17512,50,90.0557,West,1.2803,2025-12-21T07:25:46Z,143.79866471449273,69.57146741620959,LIGHT
173,NA,L,2025-12-21T02:24:00Z,60,1x1,-20.1,-20,100,50,335.8813,611.8299,604,405,65535,996,2.6499,0.3369,4.107675833756761,0.3823844580429838,1.2085,0.9819,0.9175,0.7455,0.7866,0.6391,17512,50,90.0557,West,1.2814,2025-12-21T07:24:33Z,143.79447471828564,69.5714608576142,LIGHT
172,NA,L,2025-12-21T02:23:00Z,60,1x1,-20,-20,100,50,333.16,611.6917,604,391,65535,966,2.7779,0.3783,4.426297676351762,0.3600530478482702,1.0957,0.8903,0.7969,0.6475,0.752,0.611,17512,50,90.0557,West,1.2824,2025-12-21T07:23:32Z,143.7944749703894,69.57146086831989,LIGHT
171,NA,L,2025-12-21T02:22:00Z,60,1x1,-20,-20,100,50,341.9446,611.4362,604,383,65535,1033,2.4499,0.2846,3.688155065993226,0.3914540487513265,1.0641,0.8646,0.7922,0.6437,0.7105,0.5773,17512,50,90.0557,West,1.2834,2025-12-21T07:22:31Z,143.7944752143903,69.57146087867848,LIGHT
170,NA,L,2025-12-21T02:21:00Z,60,1x1,-19.8,-20,100,50,346.0293,611.3064,604,429,65535,1030,2.2318,0.2277,3.1428137298752254,0.515498024596991,0.6759,0.5492,0.5237,0.4255,0.4272,0.3471,17512,50,90.0557,West,1.2846,2025-12-21T07:21:20Z,143.7902852193191,69.57145431944615,LIGHT
169,NA,L,2025-12-21T02:11:00Z,60,1x1,-19.8,-20,100,50,345.0771,614.2315,607,428,65535,1043,2.3753,0.2586,3.5482506937429297,0.366441489333695,0.9501,0.772,0.6483,0.5267,0.6946,0.5643,17512,50,90.0557,West,1.2947,2025-12-21T07:11:29Z,143.77771676289203,69.57143470249294,LIGHT
168,NA,L,2025-12-21T02:10:00Z,60,1x1,-19.9,-20,100,50,344.3501,613.9565,606,393,65535,1046,2.366,0.2675,3.486684302982842,0.41773850024600834,0.8961,0.728,0.6938,0.5637,0.5671,0.4608,17512,50,90.0557,West,1.2958,2025-12-21T07:10:29Z,143.77771700678545,69.57143471283172,LIGHT
167,NA,L,2025-12-21T02:09:00Z,60,1x1,-19.8,-20,100,50,343.9633,614.0571,607,401,65535,1022,2.3781,0.2563,3.519289914137599,0.3875980232409443,0.9472,0.7696,0.6325,0.5139,0.705,0.5728,17512,50,90.0557,West,1.2971,2025-12-21T07:09:17Z,143.773527016905,69.57142815107798,LIGHT
