----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-12T22:46:29--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.75 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-12T22:46:29.3784|INFO|CameraChooserVM.cs|GetEquipment|69|Found 2 ASI Cameras
2025-07-12T22:46:29.7051|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-07-12T22:46:30.4879|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-07-12T22:46:30.5087|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-07-12T22:46:31.5944|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-07-12T22:46:31.9754|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-07-12T22:46:32.0044|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-07-12T22:46:32.1553|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-07-12T22:46:32.4456|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-12T22:46:32.4835|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-12T22:46:32.5106|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-12T22:46:35.9847|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 7.0.2.4675 installed
2025-07-12T22:46:36.4069|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 104.21 GB
2025-07-12T22:46:36.4073|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive D:\: 421.84 GB
2025-07-12T22:46:36.5265|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive Z:\: 911.65 GB
2025-07-12T22:46:40.6583|INFO|API.cs|Start|97|Starting Webserver
2025-07-12T22:46:40.6601|INFO|API.cs|APITask|131|starting web server, listening at 192.168.4.180:1888
2025-07-12T22:46:40.8247|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\bcart\AppData\Local\NINA\Logs\20250712-224627-3.1.2.9001.7396-202507.log
2025-07-12T22:46:40.8736|INFO|PluginLoader.cs|LoadPlugin|416|Successfully loaded plugin Advanced API version 2.2.5.0 by Christian Palm
