DATE,MESSAGE,ROLE,EVENT_ID,TYPE
45859.88,"Starting Category: , Item: ConnectAllEquipment",ConnectAllEquipment,1,start
45859.88,"Finishing Category: , Item: ConnectAllEquipment",ConnectAllEquipment,1,end
45859.90,"Starting Category: , Item: Center, Coordinates RA: 18:54:13; Dec: 33° 07' 08""; Epoch: J2000","Slew, rotate, platesolve",2,start
45859.90,"Finishing Category: , Item: Center, Coordinates RA: 18:54:13; Dec: 33° 07' 08""; Epoch: J2000","Slew, rotate, platesolve",2,end
45859.97,"Starting Category: , Item: Center, Coordinates RA: 18:54:13; Dec: 33° 07' 08""; Epoch: J2000","Slew, rotate, platesolve",3,start
45859.97,"Finishing Category: , Item: Center, Coordinates RA: 18:54:13; Dec: 33° 07' 08""; Epoch: J2000","Slew, rotate, platesolve",3,end
45859.97,"Starting Category: , Item: Center, Coordinates RA: 18:54:13; Dec: 33° 07' 08""; Epoch: J2000","Slew, rotate, platesolve",4,start
45859.97,"Starting Category: , Item: Center, Coordinates RA: 22:37:04; Dec: 34° 24' 57""; Epoch: J2000","Slew, rotate, platesolve",5,start
45859.97,"Finishing Category: , Item: Center, Coordinates RA: 22:37:04; Dec: 34° 24' 57""; Epoch: J2000","Slew, rotate, platesolve",5,end
45859.98,"Starting Category: Utility, Item: Annotation, Text: Set the camera temperature for the night",Annotation,8,start
45859.98,"Finishing Category: Utility, Item: Annotation, Text: Set the camera temperature for the night",Annotation,8,end
45859.98,"Starting Category: Utility, Item: Annotation, Text: Wait until sunset to start cooling the camera",Annotation,9,start
45859.98,"Finishing Category: Utility, Item: Annotation, Text: Wait until sunset to start cooling the camera",Annotation,9,end
45859.98,"Starting Category: Utility, Item: WaitForTime, Time: 21:5:16h, Offset: 20",WaitForTime,10,start
45859.98,"Finishing Category: Utility, Item: WaitForTime, Time: 21:5:16h, Offset: 20",WaitForTime,10,end
45859.98,"Starting Category: Camera, Item: DewHeater, Heater: On",DewHeater,12,start
45859.98,"Finishing Category: Camera, Item: DewHeater, Heater: On",DewHeater,12,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: CoolCamera, Temperature: 0, Duration: 0",CoolCamera,13,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: CoolCamera, Temperature: 0, Duration: 0",CoolCamera,13,end
45859.98,"Starting Category: Filter Wheel, Item: SwitchFilter, Filter: L",SwitchFilter,14,start
45859.98,"Finishing Category: Filter Wheel, Item: SwitchFilter, Filter: L",SwitchFilter,14,end
45859.98,"Starting Category: Ground Station, Item: Send to Pushover, Title: Equipment",Send to Pushover,15,start
45859.98,"Finishing Category: Ground Station, Item: Send to Pushover, Title: Equipment",Send to Pushover,15,end
45859.98,"Starting Category: Utility, Item: Annotation, Text: Wait until it is dark enough for focusing and calibrating PHD2",Annotation,16,start
45859.98,"Finishing Category: Utility, Item: Annotation, Text: Wait until it is dark enough for focusing and calibrating PHD2",Annotation,16,end
45859.98,"Starting Category: Utility, Item: WaitForTime, Time: 21:56:5h, Offset: -29",WaitForTime,17,start
45859.98,"Finishing Category: Utility, Item: WaitForTime, Time: 21:56:5h, Offset: -29",WaitForTime,17,end
