----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-25T23:10:08--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.78 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-25T23:10:08.1767|INFO|CameraChooserVM.cs|GetEquipment|69|Found 1 ASI Cameras
2025-07-25T23:10:08.7938|INFO|CameraChooserVM.cs|GetEquipment|84|Found 0 Altair Cameras
2025-07-25T23:10:09.6072|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-07-25T23:10:09.6513|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-07-25T23:10:10.7332|INFO|CameraChooserVM.cs|GetEquipment|130|Found 1 QHYCCD Cameras
2025-07-25T23:10:11.0102|INFO|CameraChooserVM.cs|GetEquipment|158|Found 0 ToupTek Cameras
2025-07-25T23:10:11.1322|INFO|CameraChooserVM.cs|GetEquipment|173|Found 0 Ogma Cameras
2025-07-25T23:10:11.2446|INFO|CameraChooserVM.cs|GetEquipment|188|Found 0 Omegon Cameras
2025-07-25T23:10:11.4967|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-25T23:10:11.5479|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-25T23:10:11.5722|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-25T23:10:16.3000|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 7.0.2.4675 installed
2025-07-25T23:10:17.3130|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 231.79 GB
2025-07-25T23:10:23.5585|INFO|API.cs|Start|98|Starting Webserver
2025-07-25T23:10:23.5596|INFO|API.cs|APITask|132|starting web server, listening at 192.168.1.135:1888
2025-07-25T23:10:23.6680|INFO|NINALogWatcher.cs|Start|33|watching log file: C:\Users\chris\AppData\Local\NINA\Logs\20250725-230954-3.1.2.9001.11348-202507.log
