SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
1,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0056.fits",0.000000e+00,1.339643e-03,3.324436e-03,0.000000e+00,0.000000e+00,496,5.5206e-04,7.9522e-04,1.2941e+00,2.6593e+00,6.9832e-01,4.3514e+01,7.2434e+01,1.797512e-02,6.833693e-04,8.0760e-04,9.6196e-01,496,6.3239e-04,2.866454e+02,9.740452e+02,3.520986e+00,2.908310e-02,2.3053e-01,5.5333e-02,2.3182e-05
2,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0058.fits",0.000000e+00,1.896540e-03,4.327351e-03,0.000000e+00,0.000000e+00,596,5.2523e-04,7.5690e-04,1.2864e+00,2.4741e+00,7.2260e-01,4.5844e+01,7.3355e+01,1.722743e-02,6.516129e-04,7.7153e-04,9.5943e-01,597,6.0470e-04,3.124337e+02,1.079814e+03,4.156699e+00,3.345294e-02,2.5929e-01,4.1970e-02,2.3064e-05
3,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0060.fits",0.000000e+00,2.305723e-03,5.567198e-03,0.000000e+00,0.000000e+00,633,5.0384e-04,7.2809e-04,1.2917e+00,2.5134e+00,6.6268e-01,4.7922e+01,7.4155e+01,1.663233e-02,6.269289e-04,7.4171e-04,9.5671e-01,633,5.8462e-04,3.406760e+02,1.244778e+03,4.273925e+00,3.331672e-02,2.2836e-01,5.2181e-02,2.4107e-05
4,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0061.fits",0.000000e+00,3.900785e-03,7.167994e-03,0.000000e+00,0.000000e+00,771,4.9391e-04,7.1537e-04,1.2960e+00,2.1998e+00,5.1465e-01,4.9361e+01,7.4697e+01,1.632715e-02,6.157533e-04,7.2792e-04,9.5451e-01,771,5.7077e-04,3.793805e+02,1.388680e+03,6.246700e+00,6.072343e-02,1.5801e-01,1.1068e-01,2.2485e-05
5,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0062.fits",0.000000e+00,3.972638e-03,7.619882e-03,0.000000e+00,0.000000e+00,786,4.9127e-04,7.1175e-04,1.2927e+00,2.2321e+00,5.3576e-01,5.0391e+01,7.5080e+01,1.622034e-02,6.112918e-04,7.2321e-04,9.5391e-01,784,5.6851e-04,3.886259e+02,1.438128e+03,6.137225e+00,5.703330e-02,1.4433e-01,1.0618e-01,2.2961e-05
6,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0063.fits",0.000000e+00,4.260864e-03,8.296541e-03,0.000000e+00,0.000000e+00,785,4.8901e-04,7.0888e-04,1.2831e+00,2.2040e+00,5.3783e-01,5.1416e+01,7.5457e+01,1.615929e-02,6.089130e-04,7.2005e-04,9.5394e-01,785,5.6489e-04,4.037431e+02,1.762984e+03,6.279430e+00,6.013099e-02,1.3066e-01,1.1684e-01,2.2241e-05
7,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0064.fits",0.000000e+00,3.988279e-03,7.651394e-03,0.000000e+00,0.000000e+00,776,4.8652e-04,7.0561e-04,1.2932e+00,2.2649e+00,5.1267e-01,5.2442e+01,7.5829e+01,1.606775e-02,6.052891e-04,7.1618e-04,9.5377e-01,776,5.6107e-04,3.856434e+02,1.435881e+03,6.089263e+00,5.778751e-02,1.2952e-01,1.0888e-01,2.3497e-05
8,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0065.fits",0.000000e+00,4.008546e-03,7.956502e-03,0.000000e+00,0.000000e+00,776,4.8301e-04,7.0125e-04,1.2870e+00,2.2872e+00,5.0512e-01,5.3467e+01,7.6197e+01,1.593042e-02,6.003200e-04,7.1066e-04,9.5337e-01,776,5.6047e-04,3.902244e+02,1.469398e+03,5.958403e+00,5.502596e-02,1.4341e-01,1.0387e-01,2.2814e-05
9,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0066.fits",0.000000e+00,3.664416e-03,8.365074e-03,0.000000e+00,0.000000e+00,744,4.7959e-04,6.9609e-04,1.2857e+00,2.4360e+00,4.5778e-01,5.4490e+01,7.6559e+01,1.576256e-02,5.945431e-04,7.0365e-04,9.5288e-01,744,5.5256e-04,3.961742e+02,1.550799e+03,5.274572e+00,4.422180e-02,1.2947e-01,1.1173e-01,2.2279e-05
10,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0067.fits",0.000000e+00,4.274155e-03,8.772199e-03,0.000000e+00,0.000000e+00,809,4.7667e-04,6.9180e-04,1.2872e+00,2.2957e+00,4.9092e-01,5.5534e+01,7.6925e+01,1.565575e-02,5.909027e-04,6.9904e-04,9.5250e-01,809,5.4816e-04,4.030376e+02,1.534037e+03,5.971251e+00,5.269134e-02,1.0884e-01,9.9033e-02,2.1821e-05
