"","EVENT_ID","ROLE","start","end","color","mid","dur"
"1",0,"Astronomical
Dusk-Dawn",2025-07-28 21:37:06,2025-07-29 05:47:52,"black",2025-07-29 01:42:29,29446
"2",10,"WaitForTime",2025-07-28 21:56:48,2025-07-28 21:56:48,"royalblue",2025-07-28 21:56:48,0
"3",15,"Flats",2025-07-28 21:56:48,2025-07-28 21:56:48,"royalblue",2025-07-28 21:56:48,0
"4",16,"Slew, rotate, platesolve",2025-07-28 21:56:48,2025-07-28 21:58:40,"royalblue",2025-07-28 21:57:44,112
"5",18,"SwitchFilter",2025-07-28 21:58:40,2025-07-28 21:58:40,"royalblue",2025-07-28 21:58:40,0
"6",19,"RunAutofocus",2025-07-28 21:58:40,2025-07-28 22:00:28,"royalblue",2025-07-28 21:59:34,108
"7",20,"StartGuiding",2025-07-28 22:00:28,2025-07-28 22:00:44,"royalblue",2025-07-28 22:00:36,16
"8",23,"SwitchFilter",2025-07-28 22:00:44,2025-07-28 22:00:51,"royalblue",2025-07-28 22:00:47.5,7
"9",24,"TakeExposure",2025-07-28 22:00:51,2025-07-28 22:03:52,"royalblue",2025-07-28 22:02:21.5,181
"10",25,"SwitchFilter",2025-07-28 22:03:52,2025-07-28 22:03:52,"royalblue",2025-07-28 22:03:52,0
"11",26,"TakeExposure",2025-07-28 22:03:52,2025-07-28 22:06:53,"royalblue",2025-07-28 22:05:22.5,181
"12",27,"SwitchFilter",2025-07-28 22:06:53,2025-07-28 22:06:53,"royalblue",2025-07-28 22:06:53,0
"13",28,"TakeExposure",2025-07-28 22:06:53,2025-07-28 22:09:53,"royalblue",2025-07-28 22:08:23,180
"14",29,"SwitchFilter",2025-07-28 22:09:53,2025-07-28 22:09:53,"royalblue",2025-07-28 22:09:53,0
"15",30,"TakeExposure",2025-07-28 22:09:53,2025-07-28 22:12:54,"royalblue",2025-07-28 22:11:23.5,181
"16",31,"SwitchFilter",2025-07-28 22:12:54,2025-07-28 22:12:54,"royalblue",2025-07-28 22:12:54,0
"17",32,"TakeExposure",2025-07-28 22:12:54,2025-07-28 22:15:55,"royalblue",2025-07-28 22:14:24.5,181
"18",33,"SwitchFilter",2025-07-28 22:15:55,2025-07-28 22:15:55,"royalblue",2025-07-28 22:15:55,0
"19",34,"TakeExposure",2025-07-28 22:15:55,2025-07-28 22:18:55,"royalblue",2025-07-28 22:17:25,180
"20",35,"SwitchFilter",2025-07-28 22:18:55,2025-07-28 22:18:55,"royalblue",2025-07-28 22:18:55,0
"21",36,"TakeExposure",2025-07-28 22:18:55,2025-07-28 22:21:56,"royalblue",2025-07-28 22:20:25.5,181
"22",37,"SwitchFilter",2025-07-28 22:21:56,2025-07-28 22:21:56,"royalblue",2025-07-28 22:21:56,0
"23",38,"TakeExposure",2025-07-28 22:21:56,2025-07-28 22:24:56,"royalblue",2025-07-28 22:23:26,180
"24",39,"SwitchFilter",2025-07-28 22:24:56,2025-07-28 22:24:56,"royalblue",2025-07-28 22:24:56,0
"25",40,"TakeExposure",2025-07-28 22:24:56,2025-07-28 22:27:57,"royalblue",2025-07-28 22:26:26.5,181
"26",41,"SwitchFilter",2025-07-28 22:27:57,2025-07-28 22:27:57,"royalblue",2025-07-28 22:27:57,0
"27",42,"TakeExposure",2025-07-28 22:27:57,2025-07-28 22:30:58,"royalblue",2025-07-28 22:29:27.5,181
"28",43,"SwitchFilter",2025-07-28 22:30:58,2025-07-28 22:30:58,"royalblue",2025-07-28 22:30:58,0
"29",44,"TakeExposure",2025-07-28 22:30:58,2025-07-28 22:33:58,"royalblue",2025-07-28 22:32:28,180
"30",45,"SwitchFilter",2025-07-28 22:33:58,2025-07-28 22:33:58,"royalblue",2025-07-28 22:33:58,0
"31",46,"TakeExposure",2025-07-28 22:33:58,2025-07-28 22:36:59,"royalblue",2025-07-28 22:35:28.5,181
"32",47,"SwitchFilter",2025-07-28 22:36:59,2025-07-28 22:36:59,"royalblue",2025-07-28 22:36:59,0
"33",48,"TakeExposure",2025-07-28 22:36:59,2025-07-28 22:39:59,"royalblue",2025-07-28 22:38:29,180
